,user_left,user_right,set_similarity,rating_similarity,total_similarity
0,AVESON_BOOK,AnatolyEmanov,0.019855595667870037,0.018734739185883198,0.00037198940621789746
0,AVESON_BOOK,AnyaDremina,0.017973856209150325,0.012823829884796245,0.00023049367439993248
0,AVESON_BOOK,Bonifika,0.031192660550458717,0.020141375589760924,0.0006282630917907077
0,AVESON_BOOK,BrummittGlidings,0.023529411764705882,0.016355626625893294,0.00038483827355043044
0,AVESON_BOOK,Celin136,0.006220839813374806,0.061897324363356154,0.0003850533397409403
0,AVESON_BOOK,DolingerZythumla,0.01608187134502924,0.01496367584484437,0.00024064390978550888
0,AVESON_BOOK,DrunkenFox13,0.004219409282700422,0.01728942147959822,7.29511454835368e-05
0,AVESON_BOOK,Elgetu,0.016697588126159554,0.0200191565486606,0.00033427163068264454
0,AVESON_BOOK,EliaStrange,0.03210272873194221,0.027112803027678378,0.0008703949607601405
0,AVESON_BOOK,Ellenagarkova,0.007704160246533128,0.00821373152700322,6.327990390603406e-05
0,AVESON_BOOK,Ellina,0.002688172043010753,0.009007569589676745,2.4213896746442866e-05
0,AVESON_BOOK,Filippok,0.00749063670411985,0.06257472799023478,0.0004687245542339684
0,AVESON_BOOK,Gone_with_the_wind,0.024469820554649267,0.07442336957042717,0.0018211264984606976
0,AVESON_BOOK,GreeenEyees,0.018900343642611683,0.03759337343819058,0.0007105276766668322
0,AVESON_BOOK,Haley,0.013119533527696793,0.006363474872610575,8.348582194387051e-05
0,AVESON_BOOK,HannaDayzy,0.0037593984962406013,0.024390243902439046,9.169264624977085e-05
0,AVESON_BOOK,Harunoame,0.031767955801104975,0.020727680176778618,0.0006584760277153429
0,AVESON_BOOK,IzoldaGrey,0.010279001468428781,0.032804372282477234,0.0003371961908624679
0,AVESON_BOOK,Julietta_J,0.023923444976076555,0.026333118966753943,0.0006299789226496159
0,AVESON_BOOK,KettyBlack1,0.007407407407407408,0.016008598617256453,0.00011858221197967743
0,AVESON_BOOK,LeraShulgina,0.022847100175746926,0.02527406627003148,0.0005774391239198757
0,AVESON_BOOK,LimonStudy,0.007716049382716049,0.014382497890223056,0.00011097606396777048
0,AVESON_BOOK,MathieuSeatings,0.0110062893081761,0.00735075063037427,8.090448807015705e-05
0,AVESON_BOOK,Meffis,0.03558718861209965,0.021308647133943204,0.0007583148446243134
0,AVESON_BOOK,Natali_Ivashhenko,0.04700854700854701,0.013706181391209382,0.0006443076722363384
0,AVESON_BOOK,Neckey,0.017687074829931974,0.017529786743260445,0.000310050649880797
0,AVESON_BOOK,NerdyLisa,0.01775147928994083,0.04157460646502198,0.0007380107656512777
0,AVESON_BOOK,Oleina,0.01858736059479554,0.02790389973295493,0.0005186598463374523
0,AVESON_BOOK,Pelevin_Kirill,0.0035842293906810036,0.010050506338833531,3.602332021087287e-05
0,AVESON_BOOK,Radiaciya,0.011235955056179775,0.030568128410471962,0.00034346211697159506
0,AVESON_BOOK,RappleyeNetfuls,0.021702838063439065,0.0348271056126237,0.0007558470333290619
0,AVESON_BOOK,Roana,0.029769959404600813,0.02222778000208947,0.0006617201083166013
0,AVESON_BOOK,RogianTransmuted,0.009057971014492754,0.03888471586118247,0.0003522166291773775
0,AVESON_BOOK,ScreamBastet,0.009735744089012517,0.014756523050414305,0.00014366573206244803
0,AVESON_BOOK,Shinonome,0.005235602094240838,0.0061162653263812095,3.2022331551734085e-05
0,AVESON_BOOK,Ta_Tanya,0.011611030478955007,0.022916795362315723,0.00026608760943182264
0,AVESON_BOOK,Verbena-v,0.025210084033613446,0.01719479757086917,0.00043348229170258413
0,AVESON_BOOK,ViktoriyaKunitsyna,0.014150943396226415,0.007999999999999896,0.00011320754716980986
0,AVESON_BOOK,YurijYudkin,0.0037593984962406013,0.042975595566526414,0.00016156238934784365
0,AVESON_BOOK,ZoCasp,0.01855287569573284,0.02827419493876049,0.000524567624095742
0,AVESON_BOOK,alimakada,0.043882978723404256,0.04556598494305142,0.001999571147766884
0,AVESON_BOOK,dragg,0.007155635062611807,0.13948518168834234,0.0009981050568038808
0,AVESON_BOOK,elenadenisova1984,0.004322766570605188,0.02185988099141245,9.449516278708552e-05
0,AVESON_BOOK,knigilublu,0.008183306055646482,0.011711915357606406,9.584218786911953e-05
0,AVESON_BOOK,lain_ruvi,0.008787346221441126,0.07532721309327495,0.0006619263013468801
0,AVESON_BOOK,lorad76,0.008823529411764706,0.04045292267272993,0.00035693755299467586
0,AVESON_BOOK,marinabooks,0.05232558139534884,0.012227283523411847,0.0006397997192482943
0,AVESON_BOOK,nataliaperna18,0.02694610778443114,0.039623111756316165,0.001067688640140256
0,AVESON_BOOK,ptitsa_ovsyanka,0.00625,0.0916262569058609,0.0005726641056616307
0,AVESON_BOOK,renoncule-hehe,0.030797101449275364,0.027789180183490303,0.0008558262013031434
0,AVESON_BOOK,sati7709,0.018083182640144666,0.023869408547496085,0.00043163487427660193
0,AVESON_BOOK,septembera,0.009398496240601503,0.07158583490294479,0.0006727992002156464
0,AVESON_BOOK,tbukalaeva,0.00792393026941363,0.05005251126833343,0.0003966126090993141
0,AVESON_BOOK,tiny_tradegy,0.033707865168539325,0.011149326879339894,0.00037582000716876045
0,Adivo,AlonkaLuchina,0.003069367710251688,0.004901990304595483,1.5046010756892211e-05
0,Adivo,Chekarevochka,0.015957446808510637,0.027437620737148505,0.00043783437346513567
0,Adivo,ElenaSmirnova306,0.008333333333333333,0.0250609317877043,0.00020884109823086916
0,Adivo,ElenaStrozzi,0.012844036697247707,0.018614609875092336,0.00023908673234063552
0,Adivo,Firespark,0.029904306220095694,0.06943060318944794,0.0020762740188232038
0,Adivo,Julay,0.03696498054474708,0.02799662686957205,0.0010348947675522743
0,Adivo,Karinne_Romantique,0.009483667017913594,0.016387113030894573,0.00015540992336991692
0,Adivo,Kayame,0.02868617326448652,0.015917942678293384,0.0004566248616836886
0,Adivo,Kot_33,0.0017761989342806395,0.006440875980475491,1.1440277052354336e-05
0,Adivo,LianaDeus,0.008137865007180469,0.006521518000044968,5.30712331262635e-05
0,Adivo,Linares,0.020070838252656435,0.026448939726735232,0.0005308523912095619
0,Adivo,MayRain,0.02548076923076923,0.027310327396516954,0.0006958881500074032
0,Adivo,Motakejika,0.018902439024390243,0.016809748599038166,0.00031774524790864823
0,Adivo,Olesonchik,0.01686046511627907,0.03946555403027974,0.0006654075970221584
0,Adivo,RezekJackal,0.007446808510638298,0.025099474570477676,0.0001869109808439827
0,Adivo,RonaldAmettel,0.01680672268907563,0.02350032910608102,0.0003949635143879163
0,Adivo,Rudolf,0.0054678007290400975,0.010834403871134546,5.9240361385304327e-05
0,Adivo,Sleepy_Raccoon,0.006271379703534778,0.013838321874803605,8.678537093662467e-05
0,Adivo,Trepanatsya,0.008538899430740038,0.03412999604914746,0.000291432603835225
0,Adivo,Vellamoya,0.00911854103343465,0.021593332755874828,0.00019689969078305313
0,Adivo,WissehSubtilize,0.0026288117770767614,0.008620689655172376,2.2662170492040947e-05
0,Adivo,alexsik,0.02574171029668412,0.03812122335207002,0.000981305487684176
0,Adivo,aliceatseaside,0.012374779021803181,0.02577293907593403,0.0003189344258070799
0,Adivo,alinkali,0.006191950464396285,0.012101723390251062,7.493327176626045e-05
