",user_left,user_right,read_set_similarity,read_list_distance,read_list_similarity"
"0,-Anastasiia-,ArinaKushnereva,0.08571428571428572,0.005063323673818121,0.0004339991720415532"
"0,-Anastasiia-,Arina_q,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,Aru-amangeldi,0.03333333333333333,0.0013821706674902456,4.607235558300819e-05"
"0,-Anastasiia-,AyauzhanDospaeva,0.15,0.0058227226335292315,0.0008734083950293847"
"0,-Anastasiia-,BIZ,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,BanniBook,0.10256410256410256,0.012164517824376775,0.0012476428537822333"
"0,-Anastasiia-,Batsergey,0.05,0.01411343535927001,0.0007056717679635006"
"0,-Anastasiia-,Blueoctopus,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,Books-love,0.05,0.0022148421433909604,0.00011074210716954802"
"0,-Anastasiia-,Brave_Bird,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,BrundigeFucuses,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,Comilfo,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,CoralinaRad,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,DLaplas,0.125,0.01613008990009257,0.0020162612375115713"
"0,-Anastasiia-,DariNort,0.06976744186046512,0.020204102886728914,0.001409588573492715"
"0,-Anastasiia-,DaryaMatyushova,0.06666666666666667,0.01801949393803426,0.0012012995958689506"
"0,-Anastasiia-,DashaMerkureva,0.05405405405405406,0.029857499854668124,0.0016139189110631418"
"0,-Anastasiia-,DashaStarostina,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Deannmoon,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,DianaSyrbu,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Dianka18,0.1,0.0008319468994225643,8.319468994225643e-05"
"0,-Anastasiia-,Egorova_olia,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,ElenaEelenaa,0.125,0.007289135581162398,0.0009111419476452998"
"0,-Anastasiia-,Elena_Becker,0.03333333333333333,0.001346575261567562,4.4885842052252065e-05"
"0,-Anastasiia-,ElizavetaGlumova,0.05,0.03847605235917684,0.001923802617958842"
"0,-Anastasiia-,ElizavetaKilina,0.075,0.029857499854668124,0.002239312489100109"
"0,-Anastasiia-,ElizavetaShokurova,0.05,0.005063323673818121,0.00025316618369090605"
"0,-Anastasiia-,EvelinaBolotnikova,0.05,0.029857499854668124,0.0014928749927334063"
"0,-Anastasiia-,Evgeshabooks,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,Hmelyuk,0.05,0.010050506338833531,0.0005025253169416765"
